RU-AD,+3:00
RU-BA,+5:00
RU-BU,+8:00
RU-AL,+7:00
RU-DA,+3:00
RU-IN,+3:00
RU-KB,+3:00
RU-KL,+3:00
RU-KC,+3:00
RU-KR,+3:00
RU-KO,+3:00
RU-ME,+3:00
RU-MO,+3:00
RU-SA,+9:00
RU-SE,+3:00
RU-TA,+3:00
RU-TY,+7:00
RU-UD,+4:00
RU-KK,+7:00
RU-CU,+3:00
RU-ALT,+7:00
RU-KDA,+3:00
RU-KYA,+7:00
RU-PRI,+10:00
RU-STA,+3:00
RU-KHA,+10:00
RU-AMU,+9:00
RU-ARK,+3:00
RU-AST,+4:00
RU-BEL,+3:00
RU-BRY,+3:00
RU-VLA,+3:00
RU-VGG,+3:00
RU-VLG,+3:00
RU-VOR,+3:00
RU-IVA,+3:00
RU-IRK,+8:00
RU-KGD,+2:00
RU-KLU,+3:00
RU-KAM,+12:00
RU-KEM,+7:00
RU-KIR,+3:00
RU-KOS,+3:00
RU-KGN,+5:00
RU-KRS,+3:00
RU-LEN,+3:00
RU-LIP,+3:00
RU-MAG,+10:00
RU-MOS,+3:00
RU-MUR,+3:00
RU-NIZ,+3:00
RU-NGR,+3:00
RU-NVS,+6:00
RU-OMS,+6:00
RU-ORE,+5:00
RU-ORL,+3:00
RU-PNZ,+3:00
RU-PER,+5:00
RU-PSK,+3:00
RU-ROS,+3:00
RU-RYA,+3:00
RU-SAM,+4:00
RU-SAR,+3:00
RU-SAK,+11:00
RU-SVE,+5:00
RU-SMO,+3:00
RU-TAM,+3:00
RU-TVE,+3:00
RU-TOM,+6:00
RU-TUL,+3:00
RU-TYU,+5:00
RU-ULY,+4:00
RU-CHE,+5:00
RU-ZAB,+9:00
RU-YAR,+3:00
RU-MOW,+3:00
RU-SPE,+3:00
RU-YEV,+10:00
RU-CR,+3:00
RU-NEN,+3:00
RU-KHM,+5:00
RU-CHU,+12:00
RU-YAN,+5:00
RU-SEV,+3:00
RU-CE,+3:00
